model,iteration,average_prob
Model1,880000,1.78433e-45
Model1,900000,1.7907e-45
Model1,920000,1.79194e-45
Model1,940000,1.7924e-45
Model1,960000,1.79349e-45
Model1,980000,1.7913e-45
Model1,1000000,1.79198e-45
Model1,1020000,1.78992e-45
Model1,1040000,1.78931e-45
Model1,1060000,1.79032e-45
Model1,1080000,1.79008e-45
Model1,1100000,1.79273e-45
Model1,1120000,1.7936e-45
Model1,1140000,1.7937e-45
Model1,1160000,1.79445e-45
Model1,1180000,1.79763e-45
Model1,1200000,1.79745e-45
Model1,1220000,1.79934e-45
Model1,1240000,1.80108e-45
Model1,1260000,1.79812e-45
Model1,1280000,1.7972e-45
Model1,1300000,1.79819e-45
Model1,1320000,1.79545e-45
Model1,1340000,1.79516e-45
Model1,1360000,1.79422e-45
Model1,1380000,1.79194e-45
Model1,1400000,1.78597e-45
Model1,1420000,1.78457e-45
Model1,1440000,1.785e-45
Model1,1460000,1.78826e-45
Model1,1480000,1.78639e-45
Model1,1500000,1.78973e-45
Model1,1520000,1.79043e-45
Model1,1540000,1.78817e-45
Model1,1560000,1.78978e-45
Model1,1580000,1.79245e-45
Model1,1600000,1.79278e-45
Model1,1620000,1.79307e-45
Model1,1640000,1.79471e-45
Model1,1660000,1.7965e-45
Model1,1680000,1.79575e-45
Model1,1700000,1.79824e-45
Model1,1720000,1.79898e-45
Model1,1740000,1.79813e-45
Model1,1760000,1.79974e-45
Model1,1780000,1.7972e-45
Model1,1800000,1.79658e-45
Model1,1820000,1.79588e-45
Model1,1840000,1.79481e-45
Model1,1860000,1.79333e-45
Model1,1880000,1.7943e-45
Model1,1900000,1.79317e-45
Model1,1920000,1.79304e-45
Model1,1940000,1.79106e-45
Model1,1960000,1.79354e-45
Model1,1980000,1.79442e-45
